title,company,location,contract
برنامه نویس Back-End (PHP-مشهد),ظریف گرافیک | Zarif Graphic,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس نرمافزار (تاسیسات نفت و گاز-آقا-بندرعباس),سینکست | Seenext,هرمزگان، بندرعباس,قرارداد تماموقت  
کارشناس نصب و استقرار,گروه اسنپ | Snapp Group,تهران، تهران,قرارداد تماموقت  
مدیر ارشد فنی (CTO-اردبیل),ایشاپتل | eshoptell,اردبیل، اردبیل,قرارداد تماموقت  
متخصص هوش مصنوعی (AI Engineer-اردبیل),ایشاپتل | eshoptell,اردبیل، اردبیل,قرارداد تماموقت  
برنامهنویس یونیتی (Unity Developer-مشهد),پیکسل سازان | Pixelsazan,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس پایگاه داده (DBA),بامن | Baman,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد وردپرس(مشهد),تکان | Tekan,خراسان رضوی، مشهد,قرارداد تماموقت  
متخصص دیتاساینس (مشهد),آلفا نیرو | Alpha Niroo,خراسان رضوی، مشهد,قرارداد تماموقت  
Frontend Engineer (Fullstack Capable),نوین یار | Novin Yar,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Back-End,پویان | Pouyn,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی اتوماسیون (استاندارد-BPMS-مشهد),گروه مهندسی آی کن | ICAN,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس پشتیبانی سامانه فرآیندساز (BPMS),فناوری اطلاعات آرامین | Aramin Information Technology,تهران، تهران,قرارداد تماموقت  
کارشناس Digital Marketing,هوشمند اول بهشتی (هاب) | Hub,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی اتوماسیون (استاندارد-BPMS-گرگان),گروه مهندسی آی کن | ICAN,گلستان، گرگان,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی اتوماسیون (BPMS-اهواز),گروه مهندسی آی کن | ICAN,خوزستان، اهواز,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی اتوماسیون (استاندارد-BPMS-اصفهان),گروه مهندسی آی کن | ICAN,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس (Full-Stack (.NET,علم و صنعت نوید | Elmo Sanat,تهران، تهران,قرارداد تماموقت  
طراح وب سایت,مبین صنعت | Mobin Sanat,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار (خانم),پیشتازان ارک | Pishtazan Ark,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Back-End (PHP/Laravel-تبریز),لوریس استودیو | Loris Studio,آذربایجان شرقی، تبریز,قرارداد تماموقت  
برنامهنویس فول استک (کرج),شرکت صنایع تولیدی همایون | Homayoun Co,البرز، کرج,قرارداد تماموقت  
اسکرام مستر (خانم),آینده پژوهان لوتوس | Lotus Futurists,تهران، تهران,قرارداد تماموقت  
کارشناس تست نفوذ (آقا),بهسازان ملت (بانک ملت) | Behsazan Mellat (Bank Mellat),تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End,هدف سیستم اکسین | Hadaf System Oxin,تهران، تهران,قرارداد تماموقت  
توسعهدهنده فولاستک (Full Stack Developer),خانه هوش ایران | Iran Ai House,تهران، تهران,قرارداد تماموقت  
Senior React/Next.js Developer,ایدورامدیا | Edoramedia,تهران، تهران,قرارداد تماموقت  
کارشناس فروش سازمانی(خانم),آچاره سازه | Achareh Sazeh,تهران، تهران,قرارداد تماموقت  
متخصص هوش مصنوعی (آقا),داده پردازی نوین | Dew Data Proccesing,تهران، تهران,قرارداد تماموقت  
برنامهنویس C++/C (سیستمی),پویان افزار فناور | Poyan Afzar Fanavar,تهران، تهران,قرارداد تماموقت  
